filename for_count for_with_if_count for_with_switch_count for_with_array_references_count for_with_function_calls_count nested_for_count while_count while_with_if_count while_with_switch_count while_with_array_references_count while_with_function_calls_count stmts_inside_loop total_stmts
fs/hfsplus/wrapper.c 0 0 0 0 0 0 2 1 0 0 0 8 106
fs/hfsplus/tables.c 0 0 0 0 0 0 0 0 0 0 0 0 3
fs/hfsplus/hfsplus.mod.c 0 0 0 0 0 0 0 0 0 0 0 0 6
fs/hfsplus/inode.c 1 0 0 0 0 0 1 0 0 0 0 1 271
fs/hfsplus/extents.c 8 4 0 0 0 0 2 1 0 0 0 53 276
fs/hfsplus/bitmap.c 2 2 0 0 0 0 4 4 0 0 0 49 130
fs/hfsplus/ioctl.c 0 0 0 0 0 0 0 0 0 0 0 0 50
fs/hfsplus/unicode.c 1 1 0 0 0 0 6 5 1 1 1 123 224
fs/hfsplus/part_tbl.c 1 0 0 1 0 0 1 0 0 0 0 4 48
fs/hfsplus/xattr_trusted.c 0 0 0 0 0 0 0 0 0 0 0 0 4
fs/hfsplus/xattr_security.c 1 1 0 0 0 0 0 0 0 0 0 6 22
fs/hfsplus/btree.c 2 2 0 1 1 1 2 2 0 0 0 59 239
fs/hfsplus/attributes.c 1 1 0 0 0 0 0 0 0 0 0 5 138
fs/fat/namei_msdos.c 1 1 0 0 0 0 4 1 0 0 0 24 306
fs/fat/dir.c 9 2 0 3 2 1 13 11 0 6 0 137 600
fs/fat/nfs.c 0 0 0 0 0 0 0 0 0 0 0 0 120
fs/fat/fatent.c 6 2 0 2 0 2 3 2 0 0 0 44 311
fs/fat/inode.c 4 1 0 1 0 0 1 1 1 1 0 111 772
fs/fat/cache.c 0 0 0 0 0 0 2 1 0 0 0 17 145
fs/fat/namei_vfat.c 7 4 0 1 0 2 6 4 0 1 0 72 451
fs/fat/msdos.mod.c 0 0 0 0 0 0 0 0 0 0 0 0 6
fs/fat/file.c 0 0 0 0 0 0 0 0 0 0 0 0 162
fs/fat/misc.c 2 1 0 1 0 0 0 0 0 0 0 3 100
fs/dlm/rcom.c 0 0 0 0 0 0 0 0 0 0 0 0 286
fs/dlm/midcomms.c 0 0 0 0 0 0 1 1 0 0 0 21 36
fs/dlm/requestqueue.c 2 2 0 0 1 0 0 0 0 0 0 20 55
fs/dlm/debug_fs.c 8 7 0 6 1 0 2 2 0 0 2 47 282
fs/dlm/lock.c 7 7 0 4 5 1 6 6 1 0 2 172 2349
fs/dlm/member.c 9 7 0 6 0 0 1 0 0 0 0 35 275
fs/dlm/lockspace.c 6 3 0 4 1 0 2 1 0 0 0 32 385
fs/dlm/dlm.mod.c 0 0 0 0 0 0 0 0 0 0 0 0 6
fs/dlm/dir.c 2 2 0 0 2 1 0 0 0 0 0 50 109
fs/dlm/lowcomms.c 7 5 0 3 0 0 3 0 0 0 0 36 795
fs/dlm/recover.c 4 3 0 2 2 2 1 1 0 0 0 32 347
fs/dlm/memory.c 0 0 0 0 0 0 0 0 0 0 0 0 27
fs/dlm/util.c 0 0 0 0 0 0 0 0 0 0 0 0 74
fs/dlm/main.c 0 0 0 0 0 0 0 0 0 0 0 0 41
fs/dlm/plock.c 0 0 0 0 0 0 0 0 0 0 0 0 237
fs/dlm/recoverd.c 0 0 0 0 0 0 1 1 0 0 0 7 121
fs/dlm/user.c 0 0 0 0 0 0 0 0 0 0 0 0 405
fs/dlm/netlink.c 0 0 0 0 0 0 0 0 0 0 0 0 52
fs/dlm/config.c 3 1 1 3 0 0 1 0 0 0 0 20 409
fs/dlm/ast.c 5 4 0 5 0 0 0 0 0 0 0 26 109
fs/nfsd/fault_inject.c 1 1 0 1 0 0 0 0 0 0 0 2 48
fs/nfsd/nfs4proc.c 0 0 0 0 0 0 2 1 0 1 0 36 660
fs/nfsd/blocklayout.c 0 0 0 0 0 0 0 0 0 0 0 0 73
fs/nfsd/stats.c 3 0 0 1 0 0 0 0 0 0 0 5 20
fs/nfsd/nfs3proc.c 1 1 0 0 0 0 0 0 0 0 0 4 211
fs/nfsd/nfs4callback.c 1 1 0 1 0 0 0 0 0 0 0 1 371
fs/nfsd/nfs4idmap.c 0 0 0 0 0 0 0 0 0 0 0 0 242
fs/nfsd/vfs.c 4 3 1 2 0 1 2 1 0 0 0 46 791
fs/nfsd/nfsproc.c 1 1 0 1 0 0 0 0 0 0 0 1 179
fs/nfsd/blocklayoutxdr.c 2 2 0 2 0 0 0 0 0 0 0 20 68
fs/nfsd/trace.c 0 0 0 0 0 0 0 0 0 0 0 0 0
fs/nfsd/nfs3xdr.c 1 1 0 0 0 0 5 1 0 2 2 19 419
fs/nfsd/nfsxdr.c 2 2 0 0 0 0 2 0 0 2 1 11 200
fs/nfsd/auth.c 2 2 0 0 0 0 0 0 0 0 0 3 40
fs/nfsd/nfs4layouts.c 3 1 0 2 0 0 1 0 0 0 0 11 305
fs/nfsd/lockd.c 0 0 0 0 0 0 0 0 0 0 0 0 17
fs/nfsd/nfsfh.c 0 0 0 0 0 0 1 1 0 0 0 7 221
fs/nfsd/nfs4recover.c 3 0 0 1 0 0 2 1 0 0 0 16 620
fs/nfsd/nfs2acl.c 0 0 0 0 0 0 1 1 0 0 0 2 126
fs/nfsd/nfs3acl.c 0 0 0 0 0 0 1 1 0 0 0 2 87
fs/nfsd/nfs4xdr.c 10 9 1 3 2 0 10 5 0 1 2 159 1996
fs/nfsd/nfsd.mod.c 0 0 0 0 0 0 0 0 0 0 0 0 6
fs/nfsd/nfsctl.c 3 2 0 2 0 0 1 0 0 0 0 15 406
fs/nfsd/nfscache.c 3 1 0 3 1 0 1 0 0 0 0 17 240
fs/nfsd/export.c 10 5 0 5 0 0 7 1 0 0 0 51 566
fs/nfsd/nfs4acl.c 9 2 0 4 0 0 6 2 0 1 0 70 388
fs/nfsd/nfssvc.c 9 3 0 5 0 0 1 0 0 0 0 20 260
fs/nfsd/nfs4state.c 12 4 0 5 0 0 16 4 0 0 1 83 2767
fs/tracefs/inode.c 0 0 0 0 0 0 1 1 1 1 0 16 223
fs/qnx6/dir.c 2 2 0 0 0 1 2 0 0 0 0 26 120
fs/qnx6/super_mmi.c 0 0 0 0 0 0 0 0 0 0 0 0 63
fs/qnx6/qnx6.mod.c 0 0 0 0 0 0 0 0 0 0 0 0 6
fs/qnx6/inode.c 2 2 0 1 0 0 1 1 1 0 0 16 306
fs/qnx6/namei.c 0 0 0 0 0 0 0 0 0 0 0 0 15
fs/bfs/dir.c 1 1 0 1 0 1 2 2 0 0 0 41 186
fs/bfs/inode.c 3 2 0 0 1 0 0 0 0 0 0 26 237
fs/bfs/bfs.mod.c 0 0 0 0 0 0 0 0 0 0 0 0 6
fs/bfs/file.c 1 0 0 0 0 0 0 0 0 0 0 2 63
fs/ceph/ceph.mod.c 0 0 0 0 0 0 0 0 0 0 0 0 6
fs/ceph/dir.c 0 0 0 0 0 0 3 1 0 0 0 23 585
fs/ceph/snap.c 4 2 0 2 0 0 5 2 0 0 0 55 366
fs/ceph/mdsmap.c 5 1 0 1 1 1 0 0 0 0 0 48 94
fs/ceph/debugfs.c 3 2 0 1 0 0 0 0 0 0 0 34 113
fs/ceph/caps.c 12 6 0 0 1 0 9 4 0 0 1 125 1374
fs/ceph/super.c 0 0 0 0 0 0 0 0 0 0 0 0 445
fs/ceph/locks.c 0 0 0 0 0 0 0 0 0 0 0 0 159
fs/ceph/mds_client.c 13 11 0 6 2 0 20 10 0 1 6 250 1698
fs/ceph/ceph_frag.c 0 0 0 0 0 0 0 0 0 0 0 0 9
fs/ceph/xattr.c 6 1 0 2 0 0 7 4 0 0 2 57 468
fs/ceph/acl.c 0 0 0 0 0 0 0 0 0 0 0 0 118
fs/ceph/inode.c 5 3 0 3 0 0 5 3 0 0 0 107 850
fs/ceph/cache.c 0 0 0 0 0 0 1 1 0 0 0 8 140
fs/ceph/addr.c 5 3 0 4 0 0 5 4 0 1 2 149 691
fs/ceph/ioctl.c 1 0 0 0 0 0 0 0 0 0 0 2 131
fs/ceph/strings.c 0 0 0 0 0 0 0 0 0 0 0 0 80
fs/ceph/export.c 0 0 0 0 0 0 0 0 0 0 0 0 112
fs/ceph/file.c 0 0 0 0 0 0 7 7 0 1 0 96 573
fs/notify/group.c 0 0 0 0 0 0 0 0 0 0 0 0 28
fs/notify/fdinfo.c 1 0 0 0 0 0 0 0 0 0 0 1 53
fs/notify/inode_mark.c 0 0 0 0 0 0 1 1 0 0 0 7 73
fs/notify/notification.c 0 0 0 0 0 0 1 0 0 0 0 2 51
fs/notify/fsnotify.c 0 0 0 0 0 0 1 1 0 0 0 17 94
fs/notify/mark.c 1 0 0 0 0 0 0 0 0 0 0 7 147
fs/notify/vfsmount_mark.c 0 0 0 0 0 0 0 0 0 0 0 0 45
fs/notify/fanotify/fanotify_user.c 0 0 0 0 0 0 1 1 0 0 0 23 357
fs/notify/fanotify/fanotify.c 0 0 0 0 0 0 0 0 0 0 0 0 95
fs/notify/dnotify/dnotify.c 1 0 0 0 0 0 3 3 0 0 0 18 148
fs/notify/inotify/inotify_fsnotify.c 0 0 0 0 0 0 0 0 0 0 0 0 54
fs/notify/inotify/inotify_user.c 0 0 0 0 0 0 1 1 0 0 0 18 309
fs/openpromfs/inode.c 1 1 0 1 0 0 9 5 0 0 0 38 185
fs/qnx4/dir.c 0 0 0 0 0 0 1 1 0 1 0 20 33
fs/qnx4/qnx4.mod.c 0 0 0 0 0 0 0 0 0 0 0 0 6
fs/qnx4/inode.c 1 1 0 0 0 1 1 1 0 0 0 23 184
fs/qnx4/namei.c 0 0 0 0 0 0 1 1 0 0 0 12 49
fs/qnx4/bitmap.c 0 0 0 0 0 0 1 1 0 0 0 7 14
fs/lockd/svclock.c 1 1 0 1 0 0 1 1 0 0 0 15 313
fs/lockd/svcproc.c 0 0 0 0 0 0 0 0 0 0 0 0 154
fs/lockd/lockd.mod.c 0 0 0 0 0 0 0 0 0 0 0 0 6
fs/lockd/host.c 0 0 0 0 0 0 2 0 0 0 0 4 236
fs/lockd/mon.c 0 0 0 0 0 0 0 0 0 0 0 0 184
fs/lockd/clnt4xdr.c 0 0 0 0 0 0 0 0 0 0 0 0 218
fs/lockd/svc.c 0 0 0 0 0 0 1 1 0 0 0 11 212
fs/lockd/procfs.c 0 0 0 0 0 0 0 0 0 0 0 0 25
fs/lockd/clntlock.c 0 0 0 0 0 0 0 0 0 0 0 0 103
fs/lockd/xdr.c 0 0 0 0 0 0 0 0 0 0 0 0 116
fs/lockd/svcsubs.c 2 1 0 1 0 0 0 0 0 0 0 10 125
fs/lockd/clntxdr.c 0 0 0 0 0 0 0 0 0 0 0 0 222
fs/lockd/svc4proc.c 0 0 0 0 0 0 0 0 0 0 0 0 143
fs/lockd/svcshare.c 1 1 0 0 0 0 1 1 0 0 0 6 32
fs/lockd/xdr4.c 0 0 0 0 0 0 0 0 0 0 0 0 118
fs/lockd/clntproc.c 2 2 0 0 0 0 2 0 0 0 0 17 324
fs/hppfs/hppfs.c 1 1 0 1 0 0 5 4 0 0 0 38 344
fs/cramfs/uncompress.c 0 0 0 0 0 0 0 0 0 0 0 0 26
